game_stadium,building,canonical_venue,lat,lon,elevation_m,elevation_ft
CenturyLink Field,Seahawks Stadium,Lumen Field (Seattle),47.5953459,-122.3316443,14.0,45.9
Qwest Field,Seahawks Stadium,Lumen Field (Seattle),47.5953459,-122.3316443,14.0,45.9
Seahawks Stadium,Seahawks Stadium,Lumen Field (Seattle),47.5953459,-122.3316443,14.0,45.9
Seattle Kingdome,Seattle Kingdome,Lumen Field (Seattle),47.5953459,-122.3316443,14.0,45.9
Hard Rock Stadium,Pro Player Stadium,Hard Rock Stadium (Miami Gardens),25.9579032,-80.2388497,13.0,42.7
Pro Player Stadium,Pro Player Stadium,Hard Rock Stadium (Miami Gardens),25.9579032,-80.2388497,13.0,42.7
Dolphin Stadium,Pro Player Stadium,Hard Rock Stadium (Miami Gardens),25.9579032,-80.2388497,13.0,42.7
Sun Life Stadium,Pro Player Stadium,Hard Rock Stadium (Miami Gardens),25.9579032,-80.2388497,13.0,42.7
Lincoln Financial Field,Lincoln Financial Field,Lincoln Financial Field (Philadelphia),39.9009099,-75.1674892,13.0,42.7
Veterans Stadium,Veterans Stadium,Lincoln Financial Field (Philadelphia),39.9009099,-75.1674892,13.0,42.7
MetLife Stadium,New Meadowlands Stadium,"MetLife Stadium site (East Rutherford, NJ)",40.8135071,-74.0743442,9.0,29.5
Giants Stadium,Giants Stadium,"MetLife Stadium site (East Rutherford, NJ)",40.8135071,-74.0743442,9.0,29.5
New Meadowlands Stadium,New Meadowlands Stadium,"MetLife Stadium site (East Rutherford, NJ)",40.8135071,-74.0743442,9.0,29.5
Jacksonville Municipal Stadium,Jacksonville Municipal Stadium,Jacksonville stadium,30.3239811,-81.6373046,6.0,19.7
Alltel Stadium,Jacksonville Municipal Stadium,Jacksonville stadium,30.3239811,-81.6373046,6.0,19.7
EverBank Field,Jacksonville Municipal Stadium,Jacksonville stadium,30.3239811,-81.6373046,6.0,19.7
TIAA Bank Stadium,Jacksonville Municipal Stadium,Jacksonville stadium,30.3239811,-81.6373046,6.0,19.7
Oakland-Alameda County Coliseum,Oakland-Alameda County Coliseum,Oakland Coliseum,37.7516333,-122.2004749,5.0,16.4
The Coliseum,Oakland-Alameda County Coliseum,Oakland Coliseum,37.7516333,-122.2004749,5.0,16.4
McAfee Coliseum,Oakland-Alameda County Coliseum,Oakland Coliseum,37.7516333,-122.2004749,5.0,16.4
Network Associates Coliseum,Oakland-Alameda County Coliseum,Oakland Coliseum,37.7516333,-122.2004749,5.0,16.4
O.co Coliseum,Oakland-Alameda County Coliseum,Oakland Coliseum,37.7516333,-122.2004749,5.0,16.4
Ring Central Coliseum,Oakland-Alameda County Coliseum,Oakland Coliseum,37.7516333,-122.2004749,5.0,16.4
Levi's Stadium,Levi's Stadium,Levi's Stadium,37.4029867,-121.9696489,1.0,3.3
