Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"75315-1","Star Wars","The Mandalorian",2021,"Imperial Light Cruiser",,1336,149.99,159.99,199.99,159.99,5702016914443,673419340779,58.2,37.8,8.7,,"",1,1,0,,,,,,,,,159.0200,,"01/08/2021","31/12/2023"
"75316-1","Star Wars","The Clone Wars",2021,"Mandalorian Starfighter",3,544,49.99,59.99,79.99,59.99,5702016914450,673419340786,38.2,26.2,7.1,,"",1,1,0,,,,,,,,,69.6100,27.9600,"01/08/2021","31/12/2023"
"75317-1","BrickHeadz","Star Wars",2020,"The Mandalorian & The Child",,295,17.99,19.99,24.99,19.99,5702016899856,,19.1,14.1,7.1,,"",1,1,0,,,,,,,,,18.8800,13.0000,"01/08/2020","31/12/2022"
"75318-1","Star Wars","The Mandalorian",2020,"The Child",1,1073,69.99,79.99,99.99,79.99,5702016928570,,26.2,38.2,11.8,,"",1,1,0,,,,,,,,,70.4300,71.9900,"30/10/2020","31/12/2023"
"75319-1","Star Wars","The Mandalorian",2021,"The Armourer's Mandalorian Forge",3,258,27.99,29.99,39.99,29.99,5702016989410,,26.2,19.1,6.1,,"",1,1,0,,,,,,,,,42.1900,,"01/09/2021","31/12/2022"
"75939-1","Jurassic World","Legend of Isla Nublar",2020,"Dr. Wu's Lab: Baby Dinosaurs Breakout",2,164,17.99,19.99,29.99,19.99,5702016616620,673419317146,26.2,14.1,6.1,0.28,"",1,1,0,,,,,,,,,22.7400,,"01/06/2020","31/12/2021"
"5002948-1","Star Wars","The Force Awakens",2015,"C-3PO",1,3,,3.99,,,,673419242455,,,,,"",1,1,0,,,,,,,,,7.1700,4.6900,"",""
"6373604-1","Creator Expert","Space",2021,"Ulysses Space Probe",,236,,,,,,,,,,,"",1,1,0,,,,,,,,,214.6600,,"",""







